#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND,Key
174,hate that i made you love me,Ariana Grande,2026-05-29,2026-07-02,96,45,63,-8,45,3:17,69,100,150,9894,3A
177,Earrings,Malcolm Todd,2024-04-05,2026-07-02,80,51,50,-9,55,2:31,23,98,154,4709,3A
175,Self Aware,Temper City,2026-02-15,2026-07-02,162,64,61,-4,40,3:00,17,97,151,7930,8A
176,SWIM,BTS,2026-03-20,2026-07-02,94,71,53,-5,16,2:39,15,97,3,9382,11A
67,Dai Dai,Shakira,2026-05-14,2026-07-02,116,60,86,-6,63,3:43,14,96,134,38,12A
181,Man I Need,Olivia Dean,2025-08-15,2026-07-02,119,59,81,-7,69,3:04,49,96,182,5371,3B
179,So Easy (To Fall In Love),Olivia Dean,2025-09-26,2026-07-02,140,63,75,-6,57,2:49,67,96,34,1450,5B
180,BIRDS OF A FEATHER,Billie Eilish,2024-05-17,2026-07-02,105,51,75,-10,44,3:30,20,95,35,3311,10B
178,Risk It All,Bruno Mars,2026-02-27,2026-07-02,172,35,40,-10,27,3:24,50,95,181,987,10B
183,Stateside + Zara Larsson,PinkPantheress,2025-10-10,2026-07-02,123,66,68,-6,85,2:56,7,95,155,121,3A
1,The Fate of Ophelia,Taylor Swift,2025-10-03,2026-07-02,124,60,73,-5,52,3:46,27,95,4,9251,7B
185,Come Over,BTS,2026-06-12,2026-07-02,95,71,59,-4,37,2:58,19,94,49,9766,10A
182,DAISIES,Justin Bieber,2025-07-11,2026-07-02,110,38,80,-9,48,2:56,72,94,183,1128,4B
2,Golden,HUNTR/X,2025-06-20,2026-07-02,123,69,65,-4,10,3:14,10,94,36,6094,9B
41,"I Knew It, I Knew You - From ""Toy Story 5""",Taylor Swift,2026-06-05,2026-07-02,93,52,70,-8,60,2:58,22,94,132,417,8B
6,One Dance,Drake,2016-05-06,2026-07-02,104,63,79,-6,37,2:53,1,94,38,6108,3A
184,White Keys,Dominic Fike,2025-11-14,2026-07-02,82,55,71,-9,84,2:24,79,94,156,2596,11A
191,back to friends,sombr,2025-08-22,2026-07-02,93,72,44,-2,24,3:19,0,93,101,4568,3B
186,Body to Body,BTS,2026-03-20,2026-07-02,120,79,67,-3,50,3:09,11,93,99,2279,12B
18,Hips Don't Lie (feat. Wyclef Jean),Shakira,2005-11-28,2026-07-02,100,82,78,-6,76,3:40,28,93,68,4862,3A
190,Homewrecker,sombr,2026-02-05,2026-07-02,100,92,46,-3,53,3:29,5,93,10,4356,3B
187,Hooligan,BTS,2026-03-20,2026-07-02,135,49,67,-5,44,3:02,14,93,147,5793,12A
12,On The Floor,Jennifer Lopez,2011-04-29,2026-07-02,130,78,73,-5,57,4:44,11,93,12,8154,2A
189,WILDFLOWER,Billie Eilish,2024-05-17,2026-07-02,148,25,47,-12,13,4:21,61,93,184,1952,11A
96,Yellow,Coldplay,2000-07-10,2026-07-02,173,66,43,-7,28,4:26,0,93,0,1226,1B
188,2.0,BTS,2026-03-20,2026-07-02,130,54,93,-4,27,2:49,2,92,193,4063,12B
193,American Girls,Harry Styles,2026-03-06,2026-07-02,101,66,58,-7,29,3:33,1,92,157,7901,3B
195,Die On This Hill,SIENNA SPIRO,2025-10-10,2026-07-02,82,43,52,-5,25,3:37,76,92,158,9643,4B
20,Feel Good Inc.,Gorillaz,2005-05-23,2026-07-02,139,71,82,-7,77,3:42,1,92,51,5710,2A
11,Love Me Not,Ravyn Lenae,2024-08-09,2026-07-02,114,73,78,-6,81,3:33,30,92,42,2182,8B
194,12 to 12,sombr,2025-08-22,2026-07-02,124,90,66,-3,51,4:02,1,91,187,6809,10B
119,Africa,TOTO,1982-04-08,2026-07-02,93,37,67,-18,73,4:55,26,91,31,7117,12A
4,FEVER DREAM,Alex Warren,2026-02-26,2026-07-02,108,78,77,-6,76,2:33,14,91,8,2796,3A
196,Gabriela,KATSEYE,2025-06-20,2026-07-02,146,75,65,-5,62,3:17,18,91,159,5445,8A
3,Opalite,Taylor Swift,2025-10-03,2026-07-02,125,82,81,-5,80,3:55,8,91,67,7591,9B
192,Ordinary,Alex Warren,2024-09-26,2026-07-02,168,69,37,-6,39,3:06,70,91,186,5259,10B
156,Sparks,Coldplay,2000-07-10,2026-07-02,103,27,37,-11,17,3:47,75,91,43,468,3B
17,There's Nothing Holdin' Me Back,Shawn Mendes,2017-04-20,2026-07-02,122,81,87,-4,97,3:19,38,91,47,3464,11B
26,No Lie,Sean Paul,2018-06-29,2026-07-02,102,88,74,-3,46,3:41,5,90,56,5615,8A
27,Promiscuous,Nelly Furtado,2006-01-01,2026-07-02,114,97,81,-6,87,4:02,6,90,15,3424,3A
159,The Scientist,Coldplay,2002-08-27,2026-07-02,146,44,56,-7,21,5:09,73,90,108,2876,7B
19,Unwritten,Natasha Bedingfield,2004-08-30,2026-07-02,100,80,71,-6,63,4:19,1,90,50,8044,7B
102,Viva La Vida,Coldplay,2008-06-06,2026-07-02,138,62,49,-7,42,4:02,10,90,24,9529,4B
