Title,Artist,BPM,Energy,Key,Danceability,Valence,Popularity,Acousticness,Length,Release
Man I Need,Olivia Dean,119,59,3B,81,69,96,49,3:04,2025
Summer,Calvin Harris,128,86,9B,60,74,90,2,3:42,2014
Shut Up and Dance,WALK THE MOON,128,87,3B,58,62,89,1,3:19,2014
Si Antes Te Hubiera Conocido,KAROL G,128,63,1A,92,76,88,45,3:15,2025
Mi Gente,J Balvin,105,70,9A,55,29,81,2,3:05,2018
Good News,Shaboozey,81,48,4B,60,38,78,49,3:19,2025
Choosin' Texas,Ella Langley,112,78,3B,68,49,91,1,3:52,2025
Mayores,Becky G,97,84,4A,75,87,81,14,3:23,2019
Sorry I'm Here For Someone Else,Benson Boone,150,76,10B,53,52,82,4,2:36,2025
BIRDS OF A FEATHER,Billie Eilish,105,51,10B,75,44,95,20,3:30,2024
Classic,MKTO,102,79,3B,72,76,83,4,2:55,2012
Pretty Slowly,Benson Boone,122,58,11B,59,23,76,37,4:21,2024
Mr. Brightside,The Killers,148,91,3B,35,24,95,0,3:42,2004
She Drives Me Crazy,Fine Young Cannibals,109,69,10B,80,97,80,19,3:35,1988
Earrings,Malcolm Todd,80,51,3A,50,55,98,23,2:31,2024
I Gotta Feeling,Black Eyed Peas,128,77,9B,74,61,82,9,4:49,2009
Africa,TOTO,93,37,12A,67,73,91,26,4:55,1982
Your Love,The Outfield,130,76,12B,56,58,80,10,3:41,1998
So Easy (To Fall In Love),Olivia Dean,140,63,5B,75,57,96,67,2:49,2025
I’m Good - From The Movie “GOAT”,Jelly Roll,87,88,6B,62,68,68,7,2:59,2026
Dancing Queen,ABBA,101,87,11B,54,75,89,36,3:50,1976
Golden,HUNTR/X,123,67,9B,72,10,81,10,3:14,2025
Sparks,Coldplay,103,27,3B,37,17,91,75,3:47,2000
Message In A Bottle,The Police,151,81,12A,58,87,82,3,4:50,1979
Unwritten,Natasha Bedingfield,100,80,7B,71,63,90,1,4:19,2004
The Fate of Ophelia,Taylor Swift,124,60,7B,73,52,95,27,3:46,2025
Come On Eileen,Dexys Midnight Runners,107,66,8A,45,78,83,66,4:47,1982
You Belong With Me,Taylor Swift,130,75,2B,69,44,81,18,3:52,2008
Maneater,Daryl Hall & John Oates,89,50,10A,72,82,87,4,4:33,1982
Born in the U.S.A.,Bruce Springsteen,122,95,1B,40,58,79,0,4:38,1984
Dai Dai,Shakira,116,60,12A,86,63,96,14,3:43,2026
Umbrella,Rihanna,174,83,3B,59,58,87,1,4:35,2008
"Sally, When The Wine Runs Out",ROLE MODEL,120,81,3B,68,86,83,2,3:38,2025
"Take Me Home, Country Roads",John Denver,82,43,11B,38,55,78,55,3:17,1997
Don't Stop Believin' (2022 Remaster),Journey,119,75,12B,51,51,88,13,4:09,1981
American Kids,Kenny Chesney,85,59,9B,78,85,80,5,3:02,2014
The Scientist,Coldplay,146,44,7B,56,21,90,73,5:09,2002
Fancy Like,Walker Hayes,80,77,3B,65,86,73,11,2:41,2022
Piano Man,Billy Joel,178,55,8B,33,43,87,61,5:39,1973
All Star,Smash Mouth,104,87,2B,73,78,83,4,3:20,1999
Everybody Wants To Rule The World,Tears For Fears,112,80,10B,65,54,87,35,4:11,1985
American Cars,Noah Kahan,143,88,8B,59,66,80,1,4:32,2026
Viva La Vida,Coldplay,138,62,4B,49,42,90,10,4:02,2008
Lil Boo Thang,Paul Russell,114,70,8B,85,92,80,15,1:54,2023
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,137,53,6B,60,34,86,43,4:41,1972
Jump Right In,Zac Brown Band,104,82,3B,70,65,64,9,3:00,2012
This Love,Maroon 5,95,86,5A,71,81,89,5,3:26,2002
Mr. Blue Sky,Electric Light Orchestra,178,34,7B,39,48,85,65,5:03,1977
Suddenly I See,KT Tunstall,100,77,10B,59,66,82,23,3:21,2005
Walking On The Moon,The Police,146,34,8B,51,27,72,0,5:00,1979
Stateside + Zara Larsson,PinkPantheress,123,66,3A,68,85,95,7,2:56,2025
Don't You (Forget About Me),Simple Minds,111,82,11B,66,68,81,17,4:23,1985
Hey There Delilah,Plain White T's,104,29,10B,66,30,89,87,3:52,2005
Made in America,Toby Keith,172,70,11B,50,38,68,5,3:13,2011
Complicated,Avril Lavigne,78,78,7B,59,43,88,6,4:04,2002
September,"Earth, Wind & Fire",126,83,11B,70,98,78,17,3:35,1978
One Dance,Drake,104,63,3A,79,37,94,1,2:53,2016
Firework,Katy Perry,124,83,4B,64,65,75,14,3:47,2012
Gasolina,Daddy Yankee,96,80,7B,85,74,88,32,3:12,2004
(I Just) Died In Your Arms,Cutting Crew,125,73,10A,63,51,85,2,4:40,1986
Fireflies,Owl City,180,66,5B,51,47,82,3,3:48,2009
FEVER DREAM,Alex Warren,108,78,3A,77,76,91,14,2:33,2026
Every Little Thing She Does Is Magic,The Police,82,77,10B,56,43,79,12,4:20,1981
You Make My Dreams (Come True),Daryl Hall & John Oates,167,50,7B,75,90,84,23,3:10,1980
Party In The U.S.A.,Miley Cyrus,96,70,2B,65,47,81,0,3:22,2009
Hooked On A Feeling,Blue Swede,118,82,4B,55,93,65,26,2:52,2014
Fix You,Coldplay,138,42,5B,21,12,87,16,4:55,2005
Opalite,Taylor Swift,125,82,9B,81,80,91,8,3:55,2025
The Devil Went Down to Georgia,The Charlie Daniels Band,134,63,7A,52,92,71,16,3:34,1988
Life is a Highway,Rascal Flatts,103,93,7B,56,56,79,0,4:35,2006
Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,139,87,12B,76,82,84,41,3:19,1971
Young American Heart,Benson Boone,100,71,9B,59,20,63,11,2:52,2025
The Way I Are,Timbaland,115,81,1A,73,77,88,18,2:59,2007
The Cave,Mumford & Sons,142,49,12B,58,34,74,6,3:37,2009
DAISIES,Justin Bieber,110,38,4B,80,48,94,72,2:56,2025
Feel So Close - Radio Edit,Calvin Harris,128,92,9B,71,92,89,0,3:26,2012
King Of Pain,The Police,124,73,11B,52,65,68,39,4:59,1983
Nothing's Gonna Stop Us Now,Starship,96,80,2B,64,53,86,3,4:30,1987
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,91,58,5B,72,61,80,43,3:23,2010
Maneater,Nelly Furtado,133,78,3A,80,79,87,3,4:18,2006
"Shout, Pts. 1 & 2",The Isley Brothers,139,87,7B,49,42,63,75,4:28,1959
She Will Be Loved - Radio Mix,Maroon 5,102,66,5B,65,47,87,23,4:19,2002
American Ride,Toby Keith,174,91,12B,52,79,67,8,2:45,2009
American Girls,Harry Styles,101,66,3B,58,29,92,1,3:33,2026
Geronimo,Sheppard,142,78,9B,71,45,77,45,3:38,2015
I Just Might,Bruno Mars,103,71,7A,79,88,88,5,3:32,2026
American Pie,Don McLean,138,48,9B,53,49,84,70,8:36,1971
Love Story,Taylor Swift,119,74,10B,62,31,81,13,3:56,2008
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,116,81,10A,79,86,84,4,4:08,2013
Send Me On My Way,Rusted Root,119,70,8B,50,72,80,13,4:23,1994
Rock Your Body,Justin Timberlake,101,71,9A,89,82,87,20,4:27,2002
12 to 12,sombr,124,90,10B,66,51,91,1,4:02,2025
Rubber Band Man (with Hozier),Mumford & Sons,104,60,6B,49,19,69,56,3:40,2026
Temperature,Sean Paul,125,60,6B,95,82,87,11,3:38,2005
Kiss Me,Sixpence None The Richer,100,75,5B,53,42,87,2,3:28,1997
The Banjo Song,Mumford & Sons,112,62,7B,64,35,66,25,3:49,2026
Rude,MAGIC!,144,76,3B,77,93,88,4,3:44,2014
Don't Stop Believin',Journey,119,80,12B,49,47,80,25,4:08,2001
Down,Jay Sean,132,68,10B,73,73,84,1,3:32,2009
Run Together,Mumford & Sons,115,52,10B,42,29,64,20,3:39,2026
Nothin' on You (feat. Bruno Mars),B.o.B,104,85,7B,69,74,88,39,4:28,2010
It's A Great Day To Be Alive,Travis Tritt,129,65,9B,60,54,78,25,4:01,2000
Danza Kuduro,Don Omar,89,92,8B,40,87,88,8,3:18,2010
Love Me Not,Ravyn Lenae,114,74,8B,79,82,88,29,3:33,2024
Here (with Chris Stapleton),Mumford & Sons,156,58,6B,55,45,75,16,3:11,2026
Adventure of a Lifetime,Coldplay,112,92,8A,64,53,89,0,4:23,2015
Chicken Fried,Zac Brown Band,170,71,2B,57,81,84,65,3:58,2008
Another One Bites The Dust - Remastered 2011,Queen,110,53,4A,93,76,78,12,3:34,1980
There's Nothing Holdin' Me Back,Shawn Mendes,122,81,11B,87,97,91,38,3:19,2017
Summer Nights,Rascal Flatts,102,90,10B,54,66,65,2,4:02,2009
A Sky Full of Stars,Coldplay,125,68,2B,55,16,89,1,4:27,2014
Circles,Post Malone,120,76,8B,70,55,88,19,3:35,2019
Don't Stand So Close To Me,The Police,140,51,7A,80,52,74,5,4:02,1980
"Hey, Soul Sister",Train,97,89,12B,67,80,86,19,3:36,2010
In My Place,Coldplay,145,59,12B,42,19,77,6,3:46,2002
"Jesus, Etc. - 2022 Remaster",Wilco,109,31,7B,75,66,66,72,3:51,2002
Sowing The Seeds Of Love,Tears For Fears,87,77,8B,33,64,70,1,6:19,1989
"I Knew It, I Knew You - From ""Toy Story 5""",Taylor Swift,93,52,8B,70,60,94,22,2:58,2026
On The Floor,Jennifer Lopez,130,78,2A,73,59,75,11,4:44,2011
Riptide,Vance Joy,102,73,3B,48,48,91,44,3:24,2014
Rosanna,TOTO,81,51,6A,37,74,79,2,5:31,1982
Toxic,Britney Spears,143,84,5A,77,92,89,2,3:18,2003
Salvame Hoy (feat. Gabito Ballesteros),Jennifer Lopez,108,81,9A,73,23,63,2,3:35,2026
Wagon Wheel,Darius Rucker,148,66,11B,54,58,85,46,4:58,2013
Twist And Shout - Remastered 2009,The Beatles,125,85,11B,48,94,79,64,2:35,1963
Where Is The Love?,Black Eyed Peas,94,70,7B,83,81,86,11,4:32,2003
Ordinary,Alex Warren,112,68,10B,45,38,89,74,3:06,2025
Margaritaville,Jimmy Buffett,125,55,10B,80,86,75,71,4:10,1977
Thunderstruck,AC/DC,134,89,1B,50,26,90,0,4:52,1990
Échame La Culpa,Luis Fonsi,96,90,8B,73,65,78,4,2:53,2019
Your Song,Elton John,128,32,5B,55,32,82,83,4:01,1970
Hips Don't Lie (feat. Wyclef Jean),Shakira,100,82,3A,78,76,93,28,3:40,2005
Titanium (feat. Sia),David Guetta,126,79,5A,60,30,77,7,4:05,2011
Feel Good Inc.,Gorillaz,139,71,2A,82,77,92,1,3:42,2005
Hymn for the Weekend,Coldplay,90,69,5A,49,41,86,21,4:18,2015
Boogie Wonderland (with The Emotions),"Earth, Wind & Fire",132,76,7A,80,96,84,8,4:48,1979
Drift Away,Uncle Kracker,152,66,1B,58,86,78,18,4:15,2002
Better With You,3LAU,102,75,5B,57,25,55,2,3:12,2019
Like a Prayer,Madonna,112,63,7B,66,32,87,43,5:40,1989
Run It,Jelly Roll,127,83,5B,77,90,71,4,2:39,2024
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,120,49,7A,75,54,86,2,4:52,1979
One Less Lonely Girl,Justin Bieber,87,75,12B,56,73,86,16,3:49,2009
In My Mind,Dynoro,126,77,2A,69,16,80,18,3:04,2018
Don't Dream It's Over,Crowded House,82,42,5B,44,55,86,1,3:56,1986
The Git Up,Blanco Brown,98,68,12B,85,81,72,7,3:20,2019
Clocks,Coldplay,131,75,3A,58,26,88,60,5:07,2002
Tamo Bien,Enrique Iglesias,126,83,1A,77,67,66,4,3:05,2025
...Baby One More Time,Britney Spears,93,70,5A,76,91,88,20,3:31,1999
