#,TITLE,ARTIST,Key,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND
1,American Pie,Don McLean,9B,1971,2026-07-03,138,48,53,-12,49,8:36,70,84,4,2064
2,It's A Great Day To Be Alive,Travis Tritt,9B,2000-10-01,2026-07-03,129,65,60,-5,54,4:01,25,78,5,5882
3,I Gotta Feeling,Black Eyed Peas,9B,2009-01-01,2026-07-03,128,77,74,-6,61,4:49,9,82,6,4822
4,Summer,Calvin Harris,9B,2014-10-31,2026-07-03,128,86,60,-4,74,3:42,2,90,7,5379
5,September,"Earth, Wind & Fire",11B,1978-11-23,2026-07-03,126,83,70,-7,98,3:35,17,78,8,5283
6,Si Antes Te Hubiera Conocido,KAROL G,1A,2024-06-21,2026-07-03,128,67,92,-7,79,3:15,45,85,9,3819
7,Born in the U.S.A.,Bruce Springsteen,1B,1984-06-04,2026-07-03,122,95,40,-6,58,4:38,0,79,10,5658
8,Man I Need,Olivia Dean,3B,2025-08-15,2026-07-03,119,59,81,-7,69,3:04,49,96,1,2036
9,Sweet Caroline,Neil Diamond,1B,1969-06-06,2026-07-03,63,13,53,-16,58,3:23,61,82,11,8677
10,Don't Stop Believin' (2022 Remaster),Journey,12B,1981-07-17,2026-07-03,119,75,51,-7,51,4:09,13,88,13,7730
11,Dai Dai,Shakira,12A,2026-05-14,2026-07-03,116,60,86,-6,63,3:43,14,96,14,5353
12,American Girl,Tom Petty and the Heartbreakers,10B,2008-05-20,2026-07-03,114,73,56,-8,77,3:30,45,58,15,6124
13,Don't You (Forget About Me),Simple Minds,11B,1985,2026-07-03,111,82,66,-7,68,4:23,17,81,16,2343
14,Everybody Wants To Rule The World,Tears For Fears,10B,1985-02-25,2026-07-03,112,80,65,-12,54,4:11,35,87,17,5831
15,Run Together,Mumford & Sons,10B,2026-02-20,2026-07-03,115,52,42,-6,29,3:39,20,64,0,1829
16,BIRDS OF A FEATHER,Billie Eilish,10B,2024-05-17,2026-07-03,105,51,75,-10,44,3:30,20,95,18,8334
17,Mi Gente,J Balvin,9A,2017-06-30,2026-07-03,105,69,77,-5,31,3:09,2,72,19,5434
18,Crazy In Love (feat. JAY-Z),Beyoncé,6A,2003-06-24,2026-07-03,99,77,65,-7,68,3:56,0,82,20,607
19,House Party,Sam Hunt,5B,2014-10-24,2026-07-03,104,86,75,-5,86,3:10,11,73,21,6488
20,Rubber Band Man (with Hozier),Mumford & Sons,6B,2026-02-20,2026-07-03,104,60,49,-5,19,3:40,56,69,12,5520
21,Wish I Didn't Know Now,Ella Langley,8B,2025-10-01,2026-07-03,110,60,43,-5,28,4:26,25,75,2,399
22,The Banjo Song,Mumford & Sons,7B,2026-02-20,2026-07-03,112,62,64,-5,35,3:49,25,66,25,3304
23,Choosin' Texas,Ella Langley,3B,2025-10-17,2026-07-03,112,78,68,-5,49,3:52,1,91,47,2891
24,Firework,Katy Perry,4B,2012-03-12,2026-07-03,124,83,64,-5,65,3:47,14,75,22,3399
25,The Fate of Ophelia,Taylor Swift,7B,2025-10-03,2026-07-03,124,60,73,-5,52,3:46,27,95,23,9011
26,Send Me On My Way,Rusted Root,8B,1994-01-01,2026-07-03,119,70,50,-9,72,4:23,13,80,24,9878
27,Golden,HUNTR/X,9B,2025-06-19,2026-07-03,123,67,72,-5,10,3:14,10,81,26,4244
28,Wagon Wheel,Darius Rucker,11B,2013-01-01,2026-07-03,148,66,54,-7,58,4:58,46,85,27,3416
29,Mr. Brightside,The Killers,3B,2004,2026-07-03,148,91,35,-5,24,3:42,0,95,28,1018
30,Here (with Chris Stapleton),Mumford & Sons,6B,2026-02-20,2026-07-03,156,58,55,-6,45,3:11,16,75,38,7616
31,Kiss Me,Sixpence None The Richer,5B,1997-11-22,2026-07-03,100,75,53,-7,42,3:28,2,87,29,6938
32,Life is a Highway,Rascal Flatts,7B,2006-01-01,2026-07-03,103,93,56,-6,56,4:35,0,79,30,4259
33,Gasolina,Daddy Yankee,7B,2004-07-13,2026-07-03,96,80,85,-7,74,3:12,32,88,31,3385
34,Échame La Culpa,Luis Fonsi,8B,2019-02-01,2026-07-03,96,90,73,-4,65,2:53,4,78,32,5742
35,Sweet Home Alabama,Lynyrd Skynyrd,9B,1974-04-15,2026-07-03,98,61,60,-12,89,4:43,18,86,33,3392
36,Party In The U.S.A.,Miley Cyrus,2B,2009-01-01,2026-07-03,96,70,65,-5,47,3:22,0,81,34,634
37,Chicken Fried,Zac Brown Band,2B,2008-11-17,2026-07-03,170,71,57,-4,81,3:58,65,84,3,9843
38,Umbrella,Rihanna,3B,2008-06-02,2026-07-03,174,83,59,-5,58,4:35,1,87,35,4349
39,Knee Deep (feat. Jimmy Buffett),Zac Brown Band,5B,2010-09-20,2026-07-03,91,58,72,-8,61,3:23,43,80,48,6364
40,You Make My Dreams (Come True),Daryl Hall & John Oates,7B,1980,2026-07-03,167,50,75,-12,90,3:10,23,84,36,2990
41,American Kids,Kenny Chesney,9B,2014-09-22,2026-07-03,85,59,78,-7,85,3:02,5,80,37,837
42,Every Little Thing She Does Is Magic,The Police,10B,1981-10-02,2026-07-03,82,77,56,-10,43,4:20,12,79,39,7049
43,The Cave,Mumford & Sons,12B,2009-10-02,2026-07-03,142,49,58,-9,34,3:37,6,74,50,3807
44,Viva La Vida,Coldplay,4B,2008-06-06,2026-07-03,138,62,49,-7,42,4:02,10,90,40,9372
45,So Easy (To Fall In Love),Olivia Dean,5B,2025-09-26,2026-07-03,140,63,75,-6,57,2:49,67,96,49,413
46,American Cars,Noah Kahan,8B,2026-04-25,2026-07-03,143,88,59,-5,66,4:32,1,55,41,4762
