#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND
95,1979 - Remastered 2012,The Smashing Pumpkins,1995,2026-07-07,127,79,77,-10,96,4:26,2,83,103,1195
35,3AM,Matchbox Twenty,1996-10-01,2026-07-07,108,67,52,-9,54,3:45,1,79,6,6280
88,A Long December,Counting Crows,1996-10-15,2026-07-07,71,58,39,-7,38,4:55,47,65,113,9371
11,Absolutely (Story of a Girl) - Radio Mix,Nine Days,2000-05-16,2026-07-07,96,94,48,-5,66,3:09,0,70,29,5057
101,Alive,Pearl Jam,1991-08-27,2026-07-07,75,88,28,-6,60,5:40,1,79,114,8425
56,All For You,Sister Hazel,1997-02-25,2026-07-07,137,75,63,-6,64,3:38,3,71,66,4524
65,All I Want,Toad The Wet Sprocket,1991-08-27,2026-07-07,124,81,60,-8,62,3:16,6,62,15,9230
60,All Over You,Live,1994-01-01,2026-07-07,132,84,32,-6,35,3:59,0,70,14,3693
113,All The Small Things,blink-182,1999-06-01,2026-07-07,149,90,43,-5,69,2:47,1,86,96,540
98,Ants Marching,Dave Matthews Band,1994-09-27,2026-07-07,113,86,64,-4,85,4:31,2,66,109,4680
10,Barely Breathing,Duncan Sheik,1996,2026-07-07,188,81,48,-7,52,4:14,3,66,27,4464
96,Be Like That,3 Doors Down,2000,2026-07-07,96,70,49,-6,31,4:25,1,70,18,7482
62,Better Days (And the Bottom Drops Out),Citizen King,1999-02-26,2026-07-07,95,90,76,-3,80,3:27,17,64,69,8168
76,Better Man,Pearl Jam,1994-11-22,2026-07-07,126,67,45,-8,27,4:28,17,73,40,1226
17,Bitter Sweet Symphony - Remastered 2016,The Verve,1997-09-29,2026-07-07,171,92,36,-6,52,5:57,3,88,35,738
72,Black Balloon,The Goo Goo Dolls,1998,2026-07-07,105,63,34,-9,33,4:09,6,70,57,1223
4,Breakaway,Big Pig,1987,2026-07-07,120,67,78,-10,50,3:38,22,47,22,448
