Title,Artist,BPM,Energy,Key
You Are My High,Sultan + Shepard,123,79,10A
Summer's End,Massane,120,80,10A
Be Mine,EMBRZ,124,50,10A
It’s Only - ODESZA VIP Remix,ODESZA,120,88,10B
Do You Feel The Same?,Emmit Fenn,120,39,10B
Ghost Voices - Lane 8 Remix,Lane 8,123,57,10B
Second Sun,Nils Hoffmann,120,41,10B
Feel It All,mölly,123,66,10B
Oh Miles,Lane 8,124,73,10B
You,Lane 8,124,75,10B
Another Dawn,Massane,122,87,10B
Do You Feel The Same? - OCULA Remix,Emmit Fenn,122,44,10B
Underwater,Le Youth,123,68,10B
Passing Trains,George FitzGerald,122,85,10B
Elenore,Sultan + Shepard,122,72,10B
Closer,Jerro,122,70,10B
Burns - Lane 8 Club Mix,George FitzGerald,124,65,10B
Kids - PROFF Dub Remix,The Midnight,122,82,10B
The Deep,Lane 8,124,61,11A
This Version Of You - Joseph Ray Remix,ODESZA,124,52,11A
Wild,Massane,120,58,11A
Shooting Arrows - Matt Fax Remix,Lane 8,125,81,11A
Bloom - Intro Mix,Sultan + Shepard,122,84,11A
Shooting Arrows (feat. POLIÇA),Lane 8,124,56,11B
Higher Than Nirvana,EMBRZ,125,74,11B
Everything Will Be Okay,AK,125,38,11B
Don't Look Back,EMBRZ,120,43,11B
lOnDn,EMBRZ,124,48,12A
Next To You,Romain Garcia,125,93,12A
I Don't Mind - Robby East Remix,Le Youth,122,75,12A
Red Lights - EMBRZ Remix,Lane 8,124,61,12B
Then It Rained All Night,Le Youth,124,68,12B
To Find You,Modera,123,78,12B
Trois,Sultan + Shepard,122,70,12B
Road,Lane 8,122,51,1B
Assassin,Sultan + Shepard,120,69,1B
Amman,Emmit Fenn,120,53,1B
Birthright,Nora En Pure,122,71,1B
Count To Three,EMBRZ,122,52,1B
Was It the Wind That Stirred The Trees,Boy North,124,87,1B
Impossible,Klur,122,63,1B
My Time,Sultan + Shepard,124,69,1B
Survive - Sultan + Shepard Remix,Lane 8,123,75,1B
Back Through You,Sultan + Shepard,120,70,1B
Road - Jerro Remix,Lane 8,122,68,1B
Rust,Ben Böhmer,124,57,2B
Home,Ben Böhmer,120,44,2B
Atlas,Lane 8,122,56,2B
8 Hours Still No Rain,Hosini,120,21,2B
Twin Souls,Luttrell,123,87,2B
Sirens,Sultan + Shepard,120,58,2B
Solid Gold Love,Sultan + Shepard,120,57,2B
Losing Ground,Sultan + Shepard,123,70,2B
Groundhog Day,Lane 8,122,56,2B
Dream Of Love,Nox Vahn,123,82,2B
Naama,Sultan + Shepard,120,70,3A
New Love,Le Youth,123,77,3A
Beyond Beliefs,Ben Böhmer,124,60,3B
Erase,Ben Böhmer,124,54,3B
Floating,Klur,120,67,3B
I Will Leave a Light On,Le Youth,123,71,3B
Breathless,Jerro,124,74,3B
Little Voices,Lane 8,125,78,3B
Clarify,Lane 8,124,47,3B
Smile,A.M.R,120,68,3B
Floating - Extended Mix,Klur,120,58,3B
Chills,Le Youth,125,67,3B
Pantheon,Jerro,122,67,3B
You Already Know,Sultan + Shepard,124,46,3B
Heart (feat. Madeline),Forester,124,56,3B
Stay,EMBRZ,122,44,3B
Cheyenne,Trilucid,123,65,4A
Closure,Massane,124,80,4A
Otherside - Nils Hoffmann Remix,Eli & Fur,125,50,4A
Dreams,Gryffin,124,69,4A
Night Blooming Jasmine - Rodriguez Jr. Remix Edit,Eli & Fur,120,70,4A
Weightless,Ben Böhmer,122,68,4A
Waves - OCULA Remix,Le Youth,120,67,4A
Aquiver,Le Youth,124,75,4A
Morning U,Jody Wisternoff,120,40,4A
The Way,Sultan + Shepard,120,69,4B
Strangers,Ben Böhmer,123,88,4B
Heartbeat - Alex Schulz Remix,Autograf,124,70,4B
When I'm With You,Kaskade,123,54,4B
Light Falls,EMBRZ,122,71,4B
The Night Air Was Cool,ATTLAS,123,64,4B
Summit,Klur,119,65,4B
Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia,125,74,5A
Silence,Kidnap,121,79,5A
Life on Hold,Nora En Pure,122,94,5A
Kochi,Sultan + Shepard,122,95,5B
Reviver,Lane 8,123,71,5B
Hide and Seek - Le Youth Remix,Catie Turner,124,76,5B
Moments - Ben Böhmer & Nils Hoffmann Remix,Kidnap,121,52,6A
Salta,Sultan + Shepard,120,60,6A
One Day At A Time,Trilucid,123,86,6A
Far Behind,Nils Hoffmann,123,61,6A
Lessons In Love v3,Kaskade,124,67,6A
Brightest Lights (feat. POLIÇA) - Edit,Lane 8,125,67,6B
Fourteen,Sultan + Shepard,122,80,6B
Waves,Le Youth,124,73,6B
The Bridge - Chicane Rework,Jody Wisternoff,125,75,7A
Run - Sultan + Shepard Remix,Lane 8,124,86,7A
Run,Lane 8,124,80,7B
Just,Lane 8,123,56,8A
Hang On - Sam Parker Remix,Le Youth,122,72,8A
Keep On,Lane 8,122,63,8A
Third Time,Romain Garcia,123,68,8A
Making Time x Cycles,Sultan + Shepard,124,65,8A
Raye,Sultan + Shepard,122,57,8B
Zima,Sultan + Shepard,120,58,8B
Grow - Kidnap Dub,Kidnap,121,74,8B
I'll Wait,Lane 8,125,81,8B
Seven Cities - Nall Remix,Solarstone,122,82,8B
Feel Around You,Le Youth,120,43,8B
Crossroads,Massane,122,61,8B
Operation Midnight,Luttrell,123,76,8B
I'll Wait - Le Youth Remix,Lane 8,123,77,8B
Liberate - Lane 8 Remix,Eric Prydz,121,58,8B
Sound 4 U X Be Mine,EMBRZ,124,49,8B
Back Into Your Arms,Modera,121,64,8B
Colour,Le Youth,124,72,8B
Paradise,Le Youth,122,60,8B
I'll Be Around,Elderbrook,120,68,9B
Pray - Chris Malinchak Mix,Booka Shade,122,54,9B
Concorde,Sultan + Shepard,122,45,9B
Skipping Stones,Sultan + Shepard,122,65,9B
Never,Sultan + Shepard,122,66,9B
