Title,Artist,BPM,Energy,Key,Danceability,Valence,Popularity,Acousticness,Length
"I See the Light - From ""Tangled"" / Soundtrack Version",Mandy Moore,92,14,5A,24,17,74,83,3:44
Hymn for the Weekend,Coldplay,90,69,5A,49,41,86,21,4:18
Fireflies,Owl City,180,66,5B,51,47,82,3,3:48
Roar,Katy Perry,90,77,6B,67,44,82,0,3:43
Count on Me,Bruno Mars,89,39,8B,59,50,83,85,3:17
Buy Dirt,Jordan Davis,178,56,12B,59,44,81,64,2:47
Somewhere Only We Know,Keane,172,66,11B,45,37,81,8,3:56
Ordinary,Alex Warren,168,69,10B,37,39,91,70,3:06
Ho Hey,The Lumineers,80,47,8B,69,35,86,79,2:43
Iris,The Goo Goo Dolls,156,72,10B,32,50,95,0,4:49
Die With A Smile,Lady Gaga,158,60,11B,52,50,89,29,4:11
"Kingdom Dance - From ""Tangled""/Score",Alan Menken,156,61,12B,24,48,65,9,2:20
I Knew You Were Trouble.,Taylor Swift,77,47,2B,62,68,81,0,3:39
Say It Ain't So,Weezer,152,56,5B,63,48,65,1,4:18
Mr. Brightside,The Killers,148,91,3B,35,24,95,0,3:42
Viva La Vida,Coldplay,138,62,4B,49,42,90,10,4:02
American Nights,Zach Bryan,138,68,2B,57,36,77,3,3:38
You Belong With Me,Taylor Swift,130,75,2B,69,44,81,18,3:52
Cool Kids,Echosmith,130,79,4B,69,76,71,9,3:35
Baby,Justin Bieber,65,86,5B,73,54,92,4,3:34
Story of My Life,One Direction,121,66,5B,60,29,87,23,4:05
Titanium (feat. Sia),David Guetta,126,79,5A,60,30,77,7,4:05
Clocks,Coldplay,131,75,3A,58,26,88,60,5:07
Shut Up and Dance,WALK THE MOON,128,87,3B,58,62,89,1,3:19
A Sky Full of Stars,Coldplay,125,68,2B,55,16,89,1,4:27
Close To You,Gracie Abrams,122,72,2B,59,30,81,2,3:45
Counting Stars,OneRepublic,122,71,12A,66,47,91,7,4:17
Only Girl (In The World),Rihanna,126,71,10A,79,64,90,11,3:55
Better When I'm Dancin',Meghan Trainor,128,82,10B,76,86,71,57,2:56
Ribs,Lorde,128,47,12B,53,4,85,53,4:18
"I've Got a Dream - From ""Tangled""/Soundtrack Version",Mandy Moore,134,54,12B,60,89,64,64,3:11
It's a Beautiful Day (Reprise),The Kiffness,134,44,8B,77,69,59,75,2:42
Feel This Moment (feat. Christina Aguilera),Pitbull,136,76,10B,67,54,85,4,3:49
Still into You,Paramore,136,92,7B,60,77,86,1,3:36
Slipping Through My Fingers,ABBA,137,26,7B,48,34,79,80,3:53
"Mother Knows Best - From ""Tangled""/Soundtrack Version",Donna Murphy,128,26,7B,50,49,62,83,3:10
Supercut,Lorde,125,44,8B,56,15,80,22,4:37
18,One Direction,124,58,11B,68,22,80,22,4:08
Love Story,Taylor Swift,119,74,10B,62,30,69,17,3:55
Everybody Wants To Rule The World,Tears For Fears,112,82,10B,63,50,85,34,4:11
"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",Mandy Moore,108,42,12B,67,39,71,11,2:32
That’s So True,Gracie Abrams,109,82,3B,55,38,66,25,2:46
Riptide,Vance Joy,102,73,3B,48,48,91,44,3:24
Classic,MKTO,102,79,3B,72,76,83,4,2:55
Life is a Highway,Rascal Flatts,103,95,7B,58,66,79,0,4:36
Unwritten,Natasha Bedingfield,100,80,7B,71,63,90,1,4:19
Best Day Of My Life,American Authors,100,90,10B,67,54,85,6,3:14
Something Just Like This,The Chainsmokers,103,64,10B,62,45,90,5,4:07
Dancing Queen,ABBA,101,87,11B,54,75,89,36,3:50
Teenage Dirtbag,Wheatus,95,85,12B,62,61,56,34,4:01
Party In The U.S.A.,Miley Cyrus,96,70,2B,65,47,81,0,3:22
Heart Attack,Demi Lovato,174,79,4B,50,50,85,7,3:30
Diet Mountain Dew,Lana Del Rey,88,70,3A,60,53,64,28,3:42
Umbrella,Rihanna,174,83,3B,59,58,80,1,4:35
What Are You Waiting For,d4vd,166,90,3B,38,46,65,0,2:24
National Anthem,Lana Del Rey,85,90,5B,53,44,64,53,3:50
Do I Wanna Know?,Arctic Monkeys,85,53,6A,55,41,90,19,4:32
Stressed Out,Twenty One Pilots,170,64,8A,73,65,90,5,3:22
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,90,80,11B,65,80,88,3,3:30
What Makes You Beautiful,One Direction,125,79,12B,73,89,89,1,3:19
The Sweet Escape,Gwen Stefani,120,77,3B,76,73,82,19,4:06
Buddy Holly,Weezer,121,92,4B,56,77,81,0,2:39
Every Breath You Take,The Police,117,45,4B,82,74,94,54,4:13
Safe and Sound,Capital Cities,118,82,8B,66,77,88,0,3:12
Island In The Sun,Weezer,115,81,9B,65,66,87,1,3:20
Adventure of a Lifetime,Coldplay,112,92,8A,64,53,89,0,4:23
A Million Dreams,Ziv Zaifman,55,31,9B,27,10,79,24,4:29
Beautiful Things,Benson Boone,105,47,6B,47,22,90,15,3:00
