Title,Artist,BPM,Energy,Key
Flowers-Fire,Kingfishr,97,47,8B
Lightning and a Bottle,Explosions In The Sky,120,10,12B
Green Green Grass,George Ezra,113,74,4B
Feelings,John Newman,126,83,10A
Lil Boo Thang,Paul Russell,114,70,8B
Warm with You,Hayden Calnin,102,36,10B
"Wachet auf, ruft uns die Stimme, BWV 645",Johann Sebastian Bach,80,6,10B
Sometimes,DubVision,125,80,8B
Above the Clouds of Pompeii,Bear's Den,101,50,12B
Falling Up (Andy Kulter Remix),FIXL,121,81,2A
Just A Gigolo - Remastered,Louis Prima,125,40,4B
Good Plates,Michael Bernard Fitzgerald,92,45,10B
Open Spaces,Just A Gent,100,39,8A
miss me (when you're gone),Will Linley,160,66,2B
Kids,MGMT,123,93,11B
Reverie - Original Mix,Kyau & Albert,128,92,4B
Close to Me,Sons Of Maria,120,78,9A
State Lines,Novo Amor,137,31,11B
C'est La Vie No.2,Phosphorescent,116,40,8B
Violet,Connor Price,120,72,1A
Smalltown Boy,Bronski Beat,135,58,4A
Praise (Radio Version),Elevation Worship,127,79,4B
Leave Town for a Week,Leo Dijon,124,53,7B
Walk With You,Autograf,114,61,10B
"right person, wrong time",Henry Moodie,102,63,8B
Yellow,Ground Zero Academy Orchestra,173,30,8B
Mirrorball,Elbow,143,66,11A
BLING BLING,Maluma,100,88,8A
Reptile,The Church,157,67,6A
Into Arms of Lovers (feat. MAYLYN),ATTLAS,115,72,3B
Winter Wonderland,Sam Feldt,119,86,11B
Walk With Me - Edit,Felix Jaehn,130,79,2B
After Dark,Mr.Kitty,140,60,4B
Good To Be,Mark Ambor,94,73,12B
Gloria,The Lumineers,78,71,1B
Starting Over,Chris Stapleton,89,54,6B
Tom's Diner (with The High),HUTS,116,88,6B
EN ALTAVOZ,Grupo Frontera,84,69,11B
What It's Like - Loverush UK Radio Edit,Andain,132,78,8A
A Little Bit Yours - BURNS Remix,JP Saxe,120,83,3A
Boyz Don't Cry,Rod Wave,76,51,4A
Babylon Girl,Danny Ocean,90,64,7B
"Recomposed by Johan Ullén: Bach, Violin Concerto in E Major, BWV 1042: I. Allegro",Johann Sebastian Bach,89,28,12B
Maine,Noah Kahan,175,24,2B
Don't You Want Me,The Human League,118,74,8A
Overdrive,Post Malone,140,73,3B
Runaway Girl,Kyau & Albert,126,94,3B
Autumn 3 - 2012,Max Richter,145,30,6B
Commas,Ayra Starr,100,63,3B
Aurora - Vocal Edit,David Scott,122,62,10B
The Pasture,Elephant Revival,103,52,10B
Gloria,Laura Branigan,131,87,11B
On the Nature of Daylight,Max Richter,66,34,3A
Love Is Killing Me,BONNIE X CLYDE,126,87,8B
Call me,Sarah Rebecca,95,74,11B
Save Some Room,Shallou,120,79,12B
Motion Picture Soundtrack,Vitamin String Quartet,150,3,9B
Falling,Trevor Daniel,127,43,3A
Chasing Cars,Boyce Avenue,105,33,6B
Closer,Jerro,122,70,10B
Too Weak - Polar Inc. Remix,Jerro,120,40,6B
Wild Heart,Bleachers,150,37,8B
Turn On The Lights again.. (feat. Future),Fred again..,132,89,11A
A Little Bit Further,Tourist,128,80,5A
