Title,Artist,BPM,Energy,Key
Low (feat. T-Pain),Flo Rida,128,61,3A
Mr. Brightside,The Killers,148,91,3B
Shut Up and Dance,WALK THE MOON,128,87,3B
Classic,MKTO,102,79,3B
Cupid Shuffle,Cupid,72,58,4A
Yeah! (feat. Lil Jon & Ludacris),USHER,105,79,10B
Crank That (Soulja Boy),Soulja Boy,140,74,8B
Party In The U.S.A.,Miley Cyrus,96,70,3A
It's Tricky,Run–D.M.C.,128,86,10A
HOT TO GO!,Chappell Roan,140,76,2B
Let's Hear It for the Boy - From Footloose Soundtrack,Deniece Williams,123,57,9B
Still into You,Paramore,136,92,7B
Call Me Maybe,Carly Rae Jepsen,120,58,9B
Walking On Sunshine,Katrina & The Waves,110,87,6B
Lover,Taylor Swift,69,54,9B
Can't Take My Eyes off You,Frankie Valli,124,78,12B
One Man Band,Old Dominion,76,36,2B
Don't Stop Believin' (2022 Remaster),Journey,119,75,12B
You Belong With Me,Taylor Swift,130,78,2B
We Found Love,Rihanna,128,77,3B
Y.M.C.A.,Village People,126,79,2B
Starships,Nicki Minaj,125,72,10A
TiK ToK,Kesha,120,84,7A
Just the Way You Are,Bruno Mars,109,84,7B
Everybody Talks,#1 Radio Hits,155,85,5B
What Makes You Beautiful,One Direction,125,79,12B
Unwritten,Natasha Bedingfield,100,80,7B
Bye Bye Bye,*NSYNC,173,93,1A
Cha Cha Slide - Original Live Platinum Band Mix,DJ Casper,122,70,2B
Tenerife Sea,Ed Sheeran,122,35,4B
Dancing Queen,ABBA,101,87,11B
Wobble - Radio Version,V.I.C.,95,78,2A
Come On Eileen,Dexys Midnight Runners,107,66,10B
Wagon Wheel,Darius Rucker,148,66,11B
Steal My Girl,One Direction,77,77,3A
Jessie's Girl,Rick Springfield,132,83,10B
Take on Me,a-ha,84,90,11A
Ice Ice Baby,Vanilla Ice,116,79,10B
Don't Stop The Music,Rihanna,123,67,11A
Uptown Girl,Billy Joel,129,94,12B
Twist And Shout - Remastered 2009,The Beatles,125,85,10B
Single Ladies (Put a Ring on It),Beyoncé,193,58,3B
Waterloo,ABBA,148,95,10B
Drive By,Train,122,84,12A
I Ain't Worried,OneRepublic,140,80,8B
Uptown Funk (feat. Bruno Mars),Mark Ronson,115,61,8B
Fake ID (feat. Gretchen Wilson),Big & Rich,130,96,8B
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,119,82,3B
Gangnam Style (강남스타일),PSY,132,94,10A
Fancy Like,Walker Hayes,80,77,3B
Boot Scootin' Boogie,Brooks & Dunn,130,82,10A
Footloose - From Footloose Soundtrack,Kenny Loggins,174,91,10B
Pump Up The Jam,Technotronic,125,84,3A
We Like To Party! (The Vengabus),Vengaboys,136,93,4B
Party Rock Anthem,LMFAO,130,73,4A
Watermelon Crawl,Tracy Byrd,137,72,8B
Single Ladies (Put a Ring on It),Beyoncé,193,58,3B
Jump,Kris Kross,102,75,10B
The Git Up,Blanco Brown,98,68,11B
This Is How We Do It,Montell Jordan,104,62,8B
The Twist,Chubby Checker,157,62,12B
Macarena,Los Del Rio,103,89,1A
Wobble - Radio Edit,V.I.C.,190,76,2A
Cotton Eye Joe,Rednex,132,94,8A
Macarena - Bayside Boys Remix,Los Del Rio,103,93,3B
Cha Cha Slide - Hardino Mix,DJ Casper,131,91,10A
Cha Cha Slide - Original Live Platinum Band Mix,DJ Casper,122,69,2B
Cha Cha Slide,Mr. C,131,91,10A
Runaway,Cascada,144,95,5A
Electric Slide,The Hit Crew,110,68,2B
Dancing Queen,ABBA,101,93,11B
Respect,Aretha Franklin,115,56,8B
Best Day Of My Life,American Authors,100,90,10B
Celebration,Kool & The Gang,122,66,3B
Sweet Caroline,Neil Diamond,63,13,1B
I Want It That Way,Backstreet Boys,99,69,11A
All Star,Smash Mouth,104,87,1B
Girls Just Want to Have Fun,Cyndi Lauper,120,80,2B
Happy - From Despicable Me 2,Pharrell Williams,160,82,4A
Fight Song,Rachel Platten,176,71,9B
What A Wonderful World,Louis Armstrong,77,17,7B
CONTIGO (with Tiësto),KAROL G,122,56,7B
Danza Kuduro,Don Omar,89,92,8B
Wannabe,Spice Girls,110,86,1B
Dancin' In The Country,Tyler Hubbard,115,87,9B
Pon de Replay,Rihanna,99,64,9B
Geronimo,Sheppard,142,78,9B
Hooked On A Feeling,Blue Swede,118,82,4B
September,"Earth, Wind & Fire",126,83,11B
Life is a Highway,Rascal Flatts,103,95,7B
Umbrella,Rihanna,174,83,3B
Dynamite,Taio Cruz,120,80,12B
Build Me Up Buttercup - Mono,The Foundations,134,66,8B
Break My Stride,Matthew Wilder,110,59,6B
Club Can't Handle Me (feat. David Guetta),Flo Rida,128,87,8B
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,120,86,6A
Love Story (Taylor's Version),Taylor Swift,119,79,10B
Believe,Cher,133,92,2B
Everybody Wants To Rule The World,Tears For Fears,112,80,9B
A Sky Full of Stars,Coldplay,125,68,2B
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,126,74,6B
Can't Take My Eyes off You,Frankie Valli,124,76,12B
Kids,MGMT,123,93,11B
High Hopes,Panic! At The Disco,82,90,7B
Shake It,Metro Station,150,96,12B
Only Girl (In The World),Rihanna,126,72,10A
One Dance,Drake,104,63,3B
Toxic,Britney Spears,143,84,4A
Temperature,Sean Paul,125,60,5A
Love Shack,The B-52's,134,80,4A
Cruel Summer,Taylor Swift,170,70,11B
august,Taylor Swift,90,62,7B
Anti-Hero,Taylor Swift,97,65,12B
I Can Do It With a Broken Heart,Taylor Swift,130,75,8B
You Belong With Me (Taylor's Version),Taylor Swift,130,77,2B
...Ready For It?,Taylor Swift,160,76,10B
Getaway Car,Taylor Swift,172,69,10B
Blank Space (Taylor's Version),Taylor Swift,96,72,8B
Karma,Taylor Swift,90,62,4B
Style (Taylor's Version),Taylor Swift,95,82,9B
You Need To Calm Down,Taylor Swift,85,67,10B
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,100,65,8B
Miss Americana & The Heartbreak Prince,Taylor Swift,150,75,10A
Paper Rings,Taylor Swift,104,72,11B
Fearless (Taylor's Version),Taylor Swift,100,74,7B
right where you left me - bonus track,Taylor Swift,138,62,6B
Wildest Dreams (Taylor's Version),Taylor Swift,140,66,4B
But Daddy I Love Him,Taylor Swift,78,72,12B
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,182,83,8B
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,172,69,9B
Cornelia Street,Taylor Swift,102,62,8B
Red (Taylor's Version),Taylor Swift,125,78,12A
Shake It Off (Taylor's Version),Taylor Swift,160,81,9B
22 (Taylor's Version),Taylor Swift,104,70,9B
Hits Different,Taylor Swift,106,78,7B
I Can See You (Taylor's Version) (From The Vault),Taylor Swift,123,77,2B
London Boy,Taylor Swift,158,71,3B
Mine (Taylor's Version),Taylor Swift,121,79,9B
New Romantics (Taylor's Version),Taylor Swift,122,85,7B
Out Of The Woods (Taylor's Version),Taylor Swift,92,88,9B
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,170,64,10B
Dancing With Our Hands Tied,Taylor Swift,160,69,5A
Death By A Thousand Cuts,Taylor Swift,94,73,12B
Better Than Revenge (Taylor's Version),Taylor Swift,146,89,10A
Enchanted,Taylor Swift,164,62,4B
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,116,79,9B
Sparks Fly (Taylor's Version),Taylor Swift,115,77,7B
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,136,82,10A
So It Goes...,Taylor Swift,75,61,10B
This Is Why We Can't Have Nice Things,Taylor Swift,164,79,7B
Bad Blood (Taylor's Version),Taylor Swift,170,71,9B
Hound Dog,Elvis Presley,87,76,8B
A Little Less Conversation,Elvis Presley,114,80,10B
Burning Love,Elvis Presley,144,75,10B
Blue Suede Shoes,Elvis Presley,95,66,10B
A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,115,98,10A
