Title,Artist,BPM,Energy,Key
Heart (feat. Madeline),Forester,124,56,3B
Honestly,Airia,124,58,4B
Undertale,Nora Van Elken,123,64,5B
Unfolding,GRAZZE,123,64,7B
REASONS,Jon Keith,125,68,8B
Before I Loved You,Sj,126,73,9B
Massive,Drake,125,67,9A
Swimming - Edit,Le Youth,125,69,10A
Still Feel (Home Edit),Elaine Mai,124,65,12A
Levitate,Zeds Dead,126,65,1A
Without,MAZ'N,123,52,2A
Sweet Savage,Tchami,125,69,4A
Sleeping On My Own Again,MYRNE,125,70,4B
WeMoveForward,The Midnight,126,62,5B
Billie (loving arms),Fred again..,128,78,7B
Dancing Alone,VIZE,128,73,8B
Oye Cómo Va,Tito Puente,123,74,9B
Ain't Me Without You,WEISS,123,63,11B
To Find You,Modera,123,78,12B
Stargazing,Myles Smith,124,60,12A
Should Have Seen It Coming - Yotto Remix,Franky Wah,123,67,2A
You're Makin' Me High,DJ Katch,125,79,3A
Heavy Metal Love,twocolors,125,77,4A
La Bachata,Manuel Turizo,125,68,6A
Older Now - Meynberg Remix,James Carter,126,66,8A
Broken Mirror,Elderbrook,126,68,8B
B.Y.O.B. - Luke Mumby Remix,Flash,124,55,9B
Higher Than Nirvana,EMBRZ,125,74,11B
In The City,Charli xcx,128,75,12B
Do You,BYNX,124,52,1B
Without Doubt - Rodriguez Jr. Remix,David Hohme,124,60,3B
Tom's Diner,WHOCARES,123,59,3A
Not Me Anymore,POLYDRIVE,125,61,5A
Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia,125,74,5A
Diamond Eyes,DanielDavid,124,52,8A
ten,Fred again..,128,59,10A
Be Mine,EMBRZ,124,50,10A
Draiocht,GAR,123,74,10B
Falling Fire,Forester,127,66,12B
Surefire - Piano,Wilderado,125,38,1B
Walls,Dan & Sam,128,45,2B
Westward Bound,John-Robert,125,46,4B
Coda,Funkin Matt,124,56,6B
Leave Town for a Week,Leo Dijon,124,53,7B
If You Never Loved Me,Autograf,124,61,8B
Trois bateaux,Cécile Corbel,128,74,10B
High Above,INZO,128,60,11B
Dreams,The Cranberries,129,65,12B
Nowhere - Mango Remix,Serge Flibustier,125,53,2B
Bulletproof,La Roux,126,77,2A
