Title,Artist,BPM,Energy,key
Just A Gigolo - Remastered,Louis Prima,125,40,4B
Praise (Radio Version),Elevation Worship,127,79,4B
Leave Town for a Week,Leo Dijon,124,53,7B
Falling,Trevor Daniel,127,43,3A
End of Time (VIZE Remix),K-391,126,51,9A
Stay,Kaivon,123,73,3B
High Above,INZO,128,60,11B
He Deserves,Tedashii,125,49,9B
Lovers,Solarstone,128,55,6B
All The Roads,Mango,123,66,3B
fault-line,Le Youth,124,76,8B
Good Old Days (feat. Kesha),Macklemore,123,51,4B
Draiocht,GAR,123,74,10B
CUT ME OUT,Rezz,125,74,3B
Conundrum,EDX,124,78,8B
Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia,125,74,5A
Supercut,Lorde,125,44,8B
Older Now - Meynberg Remix,James Carter,126,66,8A
Beyond Beliefs (An Apparition),Ben Böhmer,124,36,3B
Sweet Savage,Tchami,125,69,4A
Unfolding,GRAZZE,123,64,7B
B.Y.O.B. - Luke Mumby Remix,Flash,124,55,9B
Mastermind,Taylor Swift,126,34,12B
Sirens,Woodlock,123,64,2B
Undertale,Nora Van Elken,123,64,5B
Can't stand the feeling,Duskus,124,63,9B
Still Feel (Home Edit),Elaine Mai,124,65,12A
Before I Loved You,Sj,126,73,9B
The Night Air Was Cool,ATTLAS,123,64,4B
For Real This Time,Gracie Abrams,124,52,2B
High and I Like it,it's murph,128,75,3B
Adobe,Arkangel,123,67,6B
If You Never Loved Me,Autograf,124,61,8B
Designer Love - Short Version,MARIA Die RUHE,127,62,3A
You're Makin' Me High,DJ Katch,125,79,3A
Beyond Beliefs,Ben Böhmer,124,60,3B
Be Mine,EMBRZ,124,50,10A
Higher Than Nirvana,EMBRZ,125,74,11B
Trois bateaux,Cécile Corbel,128,74,10B
The Beautiful Dream,George Ezra,126,49,12B
Heavy Metal Love,twocolors,125,77,4A
Levitate,Zeds Dead,126,65,1A
Further,ATTLAS,125,67,6B
Waves,Le Youth,124,73,6B
La Bachata,Manuel Turizo,125,68,6A
Stumblin' In,CYRIL,126,52,10B
Sleeping On My Own Again,MYRNE,125,70,4B
II HANDS II HEAVEN,Beyoncé,124,60,9B
Bulletproof,La Roux,126,77,2A
Limits,Late June,123,61,6B
WeMoveForward,The Midnight,126,62,5B
Bel Mercy,Jengi,127,76,3B
Sunroof - Loud Luxury Remix,Nicky Youre,123,76,6B
Save a Soul,nimino,124,45,12B
Oye Cómo Va,Tito Puente,123,74,9B
Englishman in New York - Royal Deejays Rmx,Global Gigolos,124,76,9B
Si Antes Te Hubiera Conocido,KAROL G,128,67,1B
Stargazing,Myles Smith,124,60,12A
Not Me Anymore,POLYDRIVE,125,61,5A
Falling Fire,Forester,127,66,12B
Black Friday (pretty like the sun),Lost Frequencies,126,62,2B
Heart (feat. Madeline),Forester,124,56,3B
Close To Me,NeverTheLess,128,68,3B
Darling (ABGT533),Luttrell,125,76,8B
The Ladder,Andrew Belle,124,61,4B
Deeper (Zeds Dead x Funkin Matt Remix),Biicla,124,55,9A
Lightning Like This (feat. Bambie),Nightlapse,124,70,2B
Scuba,Sultan + Shepard,125,78,10B
Take Care of You - Jax Jones Midnight Snacks Remix,Ella Henderson,124,72,1A
Without,MAZ'N,123,52,2A
Surefire - Piano,Wilderado,125,38,1B
The Otherside,Ross Quinn,123,74,9B
Without Doubt - Rodriguez Jr. Remix,David Hohme,124,60,3B
Carry You Home,Alex Warren,124,66,6B
Dancing Alone,VIZE,128,73,8B
Billie (loving arms),Fred again..,128,78,7B
Surefire,Wilderado,126,70,1B
Better Days,Rules,126,64,9A
Anywhere,Sons Of Maria,123,77,3B
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,128,78,10B
Lift Me Up (feat. Sharlene Hector) - Model Man Remix,WEISS,125,76,11B
No Such Thing,Billboard Baby Lullabies,124,49,12B
No More,Steve Benjamins,123,59,6B
Questions,Lost Frequencies,124,71,1B
In The City,Charli xcx,128,75,12B
Coda,Funkin Matt,124,56,6B
Ain't Me Without You,WEISS,123,63,11B
Massive,Drake,125,67,9A
Alright - Sunset Version,Clément Leroux,123,69,6B
I'm Into It,Paul Oakenfold,125,55,9A
Do You,BYNX,124,52,1B
Dreams,The Cranberries,129,65,12B
Honestly,Airia,124,58,4B
Empire,Le Youth,125,62,6B
To Find You,Modera,123,78,12B
Birthplace,Novo Amor,126,33,3B
Slow Your Breath Down,Future Of Forestry,126,66,3B
Wintergreen,The East Pointers,123,74,1B
Lighthouse,Le Youth,124,73,6B
Walls,Dan & Sam,128,45,2B
Swimming - Edit,Le Youth,125,69,10A
Nowhere - Mango Remix,Serge Flibustier,125,53,2B
Westward Bound,John-Robert,125,46,4B
Where Did That Go,Zeds Dead,126,72,11B
Guajira guantanamera - Remasterizado,Compay Segundo,127,54,11B
Off Of My Mind,Icona Pop,126,76,3B
Should Have Seen It Coming - Yotto Remix,Franky Wah,123,67,2A
Brag,The Home Team,123,78,9A
Diamond Eyes,DanielDavid,124,52,8A
Broken Mirror,Elderbrook,126,68,8B
In Too Deep,BONNIE X CLYDE,124,62,12B
ten,Fred again..,128,59,10A
Both Of Us - Jayda G Sunset Bliss Mix,Jayda G,124,74,1B
REASONS,Jon Keith,125,68,8B
Loved,Leslie Odom Jr.,126,52,9B
Tom's Diner,WHOCARES,123,59,3A
Survive - Sultan + Shepard Remix,Lane 8,123,75,1B
Serenade,Stil & Bense,124,79,1B
